SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10050009,FERMENTED GRILL CHICKEM JPM 850G.(149987),แหนมไก่ดอนเมืองเจพีเอ็ม 850ก.(149987),BAG,,,114.82,,,,A,7,,
'10050010,FISH BALL ARO 800G.(100920),ลูกชิ้นปลากลมขนาดใหญ่เอโร่ 800ก.(100920),BAG,,,116.78,,,,A,7,,
'10050017,ROUND YAOWARAT FISH BALLS AFM 1KG.(894015),ลูกชิ้นปลาเยาวราชกลมเอเอฟเอ็ม 1 กก.(894015),KG,,,93.23,,,,A,7,,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,152.10,,,,A,7,,
'10050049,RUGBY YAOWARAT FISH BALLS AFM 1 KG. (894013),ลูกชิ้นปลารักบี้เยาวราช เอเอฟเอ็ม 1 กก.(894013),KG,,,93.23,,,,A,7,,
'10050053,แหนมไก่ ดอนเมืองย่าง เจพีเอ็ม850ก.(10ชิ้น)(149987),แหนมไก่ดอนเมืองย่าง(เจพีเอ็ม) 850ก.(1*10)/(149987),PACK,,,114.82,,,,A,7,,
'11000001,BLACK CAVIAR 80G. (891074),ไข่ปลาคาเวียร์ลัมพ์ฟิชสีดำ 80ก.(891074),PCS,,,352.29,,,,A,7,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,,96.50,,,,N,0,,
'11000023,SAND FISH 15-18 PCS/KG.,ปลายทราย 15-18 ตัว/กก.,KG,,,173.25,,,,N,0,,
'11000030,เนื้อปลากรายบด 500 กรัม. (134603),เนื้อปลากรายบด 500ก.(134603),PACK,,,104.00,,,,N,0,,
'11000033,ปลาตาเดียวไซส์ใหญ่ (2-3 กก./ตัว)/(38571),ปลาตาเดียวไซส์ใหญ่(2-3 กก./ตัว)/(38571),KG,,,189.00,,,,N,0,,
'11000034,ลูกชิ้นปลากลมขนาดใหญ่ มหาชัย 1 กก. (152875),ลูกชิ้นปลากลมขนาดใหญ่มหาชัย 1 กก.(152875),KG,,,106.96,,,,A,7,,
'11010002,PRAWN IQF SIZE 41-50 PCS/KG.(816722),กุ้งขาวแช่แข็ง 41-50 ตัว/กก.(816722),KG,,,189.00,,,,N,0,,
'11020004,JELLY FISH 1KG.(237450),แมงกะพรุน 1 กก.(237450),KG,,,152.25,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,89.25,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.(112406),องุ่นแดงนอก 1 กก.(112406),KG,,,104.00,,,,N,0,,
'12000020,MANGO NAM DOK MAI YELLOE 1KG.(1x3)/(828271),มะม่วงน้ำดอกไม้สุกกล่อง 1 กก.(1x3)/(828271),KG,,,167.00,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),KG,,,120.75,,,,N,0,,
'12000027,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),KG,,,41.00,,,,N,0,,
'12000028,ROSE APPLE RED (828275),ชมพู่แดง (828275),KG,,,93.50,,,,N,0,,
'12000043,BLUEBERRIES JUMBO 125G. (861270),บลูเบอร์รี่จัมโบ้ 125ก.(861270),PACK,,,104.00,,,,N,0,,
'12000044,CANTALOUP MELON GREEN (160623),แคนตาลูปเมลอนเขียว(160623),KG,,,82.00,,,,N,0,,
'12000051,KEOW SAVOY MANGO 1KG. (790998),มะม่วงเขียวเสวย 1 กก.(790998),KG,,,72.50,,,,N,0,,
'12000060,PINEAPPLE PU-LE (816843),สัปปะรดภูแล (816843),KG,,,167.00,,,,N,0,,
'12000064,STRABERRY FRESH 250G.(169955),สตรอเบอร์รีสดนำเข้า 250ก.(169955),PACK,,,141.75,,,,N,0,,
