SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
11010018,กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),KG,0,0,270,,,,,,,,,,,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,280,,,,N,0,,,,,,,
'11020001,CUTTLE FISH LARGE W 3-4 PCS/KG.,หมึกหอมใหญ่ลอก 3-4 ตัว/กก.,KG,,,300,,,,N,0,,,,,,,
'11020006,SQUID LARGE 7-8 ตัว/กก.,หมึกกล้วยใหญ่ไม่ลอก 7-8 ตัว/กก.,KG,,,300,,,,N,0,,,,,,,
11020010,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,Kg,0,0,300,,,,,,,,,,,,
'11000032,ปลากระพงขาวใหญ่แล่,ปลากระพงขาวใหญ่แล่,KG,,,320,,,,N,0,,,,,,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,320,,,,N,0,,,,,,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,340,,,,N,0,,,,,,,
'11020002,SQUID LOLIGO  M & S 3-5 ตัว/กก.,หมึกศอกไม่ลอก 3-5 ตัว/กก.,KG,,,350,,,,N,0,,,,,,,
'11010017,กุ้งขาวเล็กแกะเปลือก,กุ้งขาวเล็กแกะเปลือก,KG,,,380,,,,N,0,,,,,,,
'11040002,GREEN SHELL MUSSEL NZ,หอยแมลงภู่นิวซีแลนด์,KG,,,385,,,,,,,,,,,,
'11010012,ROCK LOBSTER 6-8 PCS,กั้งกระดาน 6-8 ตัว/กก.,KG,,,480,,,,N,0,,,,,,,
'11010011,ROCK LOBSTER 4-5 PCS/KG.,กั้งหินใหญ่ 4-5 ตัว/กก.,KG,,,520,,,,N,0,,,,,,,
'11010001,PHUKET LOBSTER 400-700G.,กุ้งมังกร 400-700 กรัม,KG,,,1300,,,,N,0,,,,,,,
'11030003,CRAB MEAT AA,เนื้อปูเกรด AA,KG,,,1400,,,,N,0,,,,,,,
